,country,date,avg_max_temp,avg_min_temp,avg_temp,alpha-3,region
0,Lithuania,2022-12-18,-8.3,-15.0,-11.8,LTU,Europe
1,Ireland,2023-02-25,6.6,4.9,5.9,IRL,Europe
2,Slovenia,2023-06-16,23.8,11.0,17.5,SVN,Europe
3,Latvia,2023-05-03,10.2,3.5,6.7,LVA,Europe
4,Albania,2023-09-12,31.7,17.5,23.2,ALB,Europe
5,Spain,2022-11-18,11.7,8.6,10.5,ESP,Europe
6,Netherlands,2023-05-18,14.2,5.3,10.1,NLD,Europe
7,Austria,2023-01-24,3.7,0.8,2.4,AUT,Europe
8,Poland,2023-03-17,9.7,1.2,5.3,POL,Europe
9,Italy,2022-12-20,14.1,5.9,9.7,ITA,Europe
10,"Moldova, Republic of",2023-09-08,27.5,14.4,20.7,MDA,Europe
11,Croatia,2023-04-15,13.6,5.7,9.0,HRV,Europe
12,Slovakia,2023-04-30,16.6,7.9,12.1,SVK,Europe
13,Netherlands,2023-07-10,23.8,15.2,19.8,NLD,Europe
14,Lithuania,2022-12-28,1.1,-0.3,0.4,LTU,Europe
15,Ireland,2022-11-09,13.6,9.4,11.2,IRL,Europe
16,Ireland,2023-02-01,8.5,6.4,7.0,IRL,Europe
17,Croatia,2023-05-14,12.5,9.8,11.1,HRV,Europe
18,"Moldova, Republic of",2022-10-23,14.0,9.8,11.7,MDA,Europe
19,Ireland,2022-12-25,9.7,3.5,7.9,IRL,Europe
20,Slovenia,2022-12-27,8.7,4.2,6.8,SVN,Europe
21,Lithuania,2023-02-15,3.1,-3.9,-0.4,LTU,Europe
22,Norway,2023-01-27,-5.0,-10.3,-7.8,NOR,Europe
23,Netherlands,2023-07-06,21.5,11.6,16.9,NLD,Europe
24,Italy,2023-07-13,34.7,24.4,28.9,ITA,Europe
25,Finland,2023-03-25,4.7,0.5,2.7,FIN,Europe
26,France,2023-02-12,11.7,3.7,7.0,FRA,Europe
27,Belarus,2023-02-15,0.1,-6.2,-2.9,BLR,Europe
28,Luxembourg,2023-02-13,11.6,0.7,5.0,LUX,Europe
29,France,2022-11-12,17.7,8.6,12.1,FRA,Europe
30,Estonia,2023-04-01,0.5,-3.3,-1.5,EST,Europe
31,Albania,2022-10-02,22.4,15.6,18.6,ALB,Europe
32,Poland,2023-05-05,13.1,7.0,9.9,POL,Europe
33,Poland,2022-12-31,11.4,3.2,7.2,POL,Europe
34,Germany,2023-02-11,7.9,3.4,6.1,DEU,Europe
35,Ireland,2023-02-28,8.0,6.3,7.1,IRL,Europe
36,Italy,2022-11-28,12.5,7.0,9.8,ITA,Europe
37,France,2023-03-30,16.9,11.7,13.7,FRA,Europe
38,Montenegro,2022-11-28,10.1,4.1,6.9,MNE,Europe
39,Italy,2023-04-03,20.2,8.8,13.3,ITA,Europe
40,Italy,2023-06-23,31.4,21.8,25.9,ITA,Europe
41,Spain,2023-03-30,25.6,12.4,18.2,ESP,Europe
42,Slovenia,2022-12-15,3.6,-2.1,1.0,SVN,Europe
43,Croatia,2022-11-08,15.3,7.1,10.4,HRV,Europe
44,Luxembourg,2022-11-18,7.9,7.1,7.4,LUX,Europe
45,Norway,2022-10-11,10.8,3.1,6.3,NOR,Europe
46,Albania,2023-04-07,14.4,5.0,9.1,ALB,Europe
47,Belgium,2022-11-02,15.0,9.3,12.1,BEL,Europe
48,Italy,2023-03-15,16.7,7.9,11.8,ITA,Europe
49,Monaco,2023-08-25,28.6,26.5,27.5,MCO,Europe
50,"Moldova, Republic of",2023-04-10,15.0,4.8,9.7,MDA,Europe
51,Albania,2023-08-05,27.9,18.1,22.4,ALB,Europe
52,Austria,2022-12-12,-1.4,-3.6,-2.2,AUT,Europe
53,Czechia,2023-02-16,10.8,0.3,4.7,CZE,Europe
54,Slovakia,2023-07-04,25.9,17.0,21.3,SVK,Europe
55,Poland,2023-03-10,9.1,-0.7,4.7,POL,Europe
56,Lithuania,2023-01-30,0.7,-0.6,0.0,LTU,Europe
57,"Moldova, Republic of",2022-10-15,15.1,6.6,10.0,MDA,Europe
58,Serbia,2022-12-10,13.9,10.7,12.1,SRB,Europe
59,Poland,2023-02-22,4.2,-0.1,2.6,POL,Europe
60,Finland,2023-06-21,17.1,13.4,15.5,FIN,Europe
61,"Moldova, Republic of",2023-01-01,11.7,2.9,6.7,MDA,Europe
62,Serbia,2023-07-18,34.9,23.5,28.6,SRB,Europe
63,Latvia,2023-03-25,10.8,4.8,7.6,LVA,Europe
64,Slovenia,2022-09-26,17.4,10.6,13.2,SVN,Europe
65,Slovakia,2022-09-19,13.1,9.0,10.8,SVK,Europe
66,Slovakia,2023-02-02,4.8,1.6,3.1,SVK,Europe
67,Greece,2023-08-21,34.4,24.1,29.7,GRC,Europe
68,Slovakia,2023-02-17,10.9,1.1,6.3,SVK,Europe
69,Belgium,2022-12-10,3.0,-1.0,0.2,BEL,Europe
70,Romania,2023-02-23,7.7,5.4,6.4,ROU,Europe
71,Lithuania,2023-06-02,14.2,6.5,10.1,LTU,Europe
72,Poland,2023-06-21,30.1,18.4,23.0,POL,Europe
73,Belgium,2022-10-30,20.6,13.9,16.6,BEL,Europe
74,Finland,2023-02-22,-8.2,-12.8,-10.1,FIN,Europe
75,Czechia,2023-09-02,24.6,14.5,19.1,CZE,Europe
76,Lithuania,2022-09-15,16.9,8.8,12.8,LTU,Europe
77,Albania,2023-07-18,34.6,22.4,28.9,ALB,Europe
78,Luxembourg,2023-08-04,18.6,10.6,14.6,LUX,Europe
79,Belarus,2023-04-23,16.0,9.4,12.4,BLR,Europe
80,Netherlands,2022-10-18,16.5,8.6,12.8,NLD,Europe
81,Slovakia,2023-01-20,1.2,-2.2,-0.5,SVK,Europe
82,Poland,2022-11-19,-1.1,-3.6,-2.5,POL,Europe
83,Netherlands,2023-09-07,29.1,17.5,22.7,NLD,Europe
84,Belarus,2023-03-01,1.3,-3.0,-0.6,BLR,Europe
85,Montenegro,2023-07-26,29.6,22.6,26.0,MNE,Europe
86,Slovakia,2023-03-23,18.8,7.4,12.4,SVK,Europe
87,Ireland,2023-03-26,8.2,3.6,6.5,IRL,Europe
88,Slovakia,2023-04-28,17.4,4.6,10.6,SVK,Europe
89,Montenegro,2023-08-28,34.8,20.1,25.9,MNE,Europe
90,North Macedonia,2022-11-18,15.6,8.3,11.4,MKD,Europe
91,Kosovo,2023-05-18,11.7,9.9,11.0,,
92,Austria,2023-08-22,35.6,21.8,28.7,AUT,Europe
93,France,2023-02-23,9.7,5.7,8.0,FRA,Europe
94,Belgium,2023-08-24,27.4,18.3,22.5,BEL,Europe
95,North Macedonia,2023-05-24,24.3,12.3,18.7,MKD,Europe
96,"Moldova, Republic of",2022-09-14,24.5,10.0,16.8,MDA,Europe
97,Belgium,2023-08-18,29.0,16.0,22.2,BEL,Europe
98,Monaco,2023-06-02,23.8,17.8,20.5,MCO,Europe
99,Denmark,2023-07-17,21.2,14.8,18.0,DNK,Europe
100,"Moldova, Republic of",2023-04-04,6.7,3.6,5.3,MDA,Europe
101,Denmark,2022-12-11,-1.3,-3.9,-2.8,DNK,Europe
102,Montenegro,2023-08-03,32.6,21.2,26.5,MNE,Europe
103,Bosnia and Herzegovina,2023-08-26,33.4,18.4,25.2,BIH,Europe
104,Hungary,2023-02-13,6.8,-0.7,2.6,HUN,Europe
105,Estonia,2023-08-31,19.3,13.2,16.5,EST,Europe
106,Germany,2022-11-25,6.7,2.2,4.3,DEU,Europe
107,Romania,2023-02-14,8.1,-2.2,2.5,ROU,Europe
108,Poland,2023-08-25,32.3,18.0,24.5,POL,Europe
109,Serbia,2023-08-20,33.6,20.1,27.4,SRB,Europe
110,Greece,2023-02-15,12.1,3.3,7.0,GRC,Europe
111,Serbia,2022-09-22,17.1,8.7,12.8,SRB,Europe
112,Norway,2023-06-18,20.6,13.4,17.0,NOR,Europe
113,France,2023-01-22,4.0,-0.9,1.1,FRA,Europe
114,Montenegro,2022-12-19,12.4,4.8,8.6,MNE,Europe
115,Montenegro,2023-06-28,29.1,20.5,24.7,MNE,Europe
116,Bosnia and Herzegovina,2023-04-12,12.4,4.2,7.8,BIH,Europe
117,Spain,2023-04-15,22.6,10.4,16.0,ESP,Europe
118,Croatia,2022-10-12,18.0,11.0,14.2,HRV,Europe
119,Portugal,2023-01-30,14.4,3.9,8.2,PRT,Europe
120,Albania,2022-10-22,22.7,12.8,17.3,ALB,Europe
121,Finland,2023-03-16,3.0,-0.7,0.6,FIN,Europe
122,France,2023-02-11,8.6,1.9,5.3,FRA,Europe
123,Finland,2023-08-10,18.1,13.7,15.7,FIN,Europe
124,Slovenia,2023-04-20,12.1,6.4,8.9,SVN,Europe
125,Portugal,2023-07-22,27.5,17.4,21.2,PRT,Europe
126,Slovenia,2023-01-05,8.3,5.1,6.4,SVN,Europe
127,Romania,2023-08-31,32.7,20.8,26.3,ROU,Europe
128,Bulgaria,2022-11-11,13.1,5.9,9.4,BGR,Europe
129,Ireland,2022-12-10,4.4,0.3,1.5,IRL,Europe
130,Luxembourg,2022-11-23,8.1,4.0,6.1,LUX,Europe
131,Croatia,2023-02-07,2.2,-3.5,-1.0,HRV,Europe
132,Hungary,2023-02-28,7.2,0.9,3.7,HUN,Europe
133,Netherlands,2023-01-23,3.8,-0.1,1.7,NLD,Europe
134,Poland,2023-04-07,9.8,2.5,6.4,POL,Europe
